main_id otype_txt
"[VV2006] J144903.2+503017" Sy1
"2MASS J11562049+6000241" Sy1
"[VV2006c] J105339.0+564135" Sy1
"SDSS J111528.48-003454.7" Sy1
"SDSS J125439.15-004334.6" Sy1
"2MASS J23414149-0038065" Sy1
"2MASS J11425664+0427311" Sy1
"2SLAQ J031630.78-010303.5" Sy1
"2SLAQ J034131.94-000932.9" Sy1
"2MASS J09294343+0041272" Sy1
"[BTW2010] SS15" Sy1
"[VV2006] J031638.8-065622" Sy1
"7C 103144.10+395402.00" Sy1
"[VV2006] J073602.1+330342" Sy1
"SDSS J160400.54+513921.2" Sy1
"US  986" Sy1
"2MASS J12051771+5201091" Sy1
"SDSS J234208.30-094747.5" Sy1
"GAMA 279031" Sy1
"2E  3444" Sy1
"2MASS J17152651+2919237" Sy1
"2SLAQ J024037.88+001118.9" Sy1
"2MASS J07420763+2517267" Sy1
"2MASS J15072505+4157276" Sy1
"SDSS J161649.56+381941.6" Sy1
"SDSS J081427.49+031031.3" Sy1
"2SLAQ J003152.95+004442.2" Sy1
"2MASS J16380613+3649535" Sy1
"3XMM J161301.6+524751" Sy1
"2MASS J23454227-0914544" Sy1
"2QZ J114815.4+013839" Sy1
"2SLAQ J023330.95+001206.8" Sy1
"SDSS J235341.73+001801.6" Sy1
"2QZ J142504.6-022531" Sy1
"[VV2003c] J074906.3+354133" Sy1
"2MASS J21523239+1153509" Sy1
"2MASS J12313260+5746252" Sy1
"2MASS J12374849+0923233" Sy1
"2MASX J13585199+2511398" Sy1
"[GH2004]  5" Sy1
"[VV2003c] J034736.4-045722" Sy1
"2MASX J08345407+5426439" Sy1
"LAMOST J081330.45+324552.3" Sy1
"[VV2006] J001100.4+134812" Sy1
"SDSS J141625.71+030307.1" Sy1
"[VV2006] J130034.4+501113" Sy1
"2MASS J11030454+0953138" Sy1
"SDSS J155152.50+463211.7" Sy1
"SDSS J035624.05-063731.6" Sy1
"2QZ J135727.3-012640" Sy1
"[VV2006] J090457.5+562405" Sy1
"2MASS J07514159+3539143" Sy1
"2MASX J10164506+4210249" Sy1
"[VV2006c] J085039.7+333843" Sy1
"2MASS J23275543-0928359" Sy1
"LBQS 1324-0108" Sy1
"LBQS 1332-0159" Sy1
"[VV2006] J125655.0+042315" Sy1
"SDSS J134652.77-032901.0" Sy1
"[VV2006] J110301.9+560329" Sy1
"[VV2003c] J015046.7+132359" Sy1
"LBQS 1140+0228" Sy1
"2MASS J03033575+0041449" Sy1
"2QZ J132717.6+005749" Sy1
"2MASX J16543729+3016539" Sy1
"2QZ J105006.4+012211" Sy1
"2MASS J10345728-0102091" Sy1
"2MASS J11023762+0552030" Sy1
"2SLAQ J214632.36+000202.7" Sy1
"2QZ J134748.1+011448" Sy1
"[VV2006] J120656.1+102046" Sy1
"PB  6040" Sy1
"SDSS J210629.86+110109.0" Sy1
"SDSS J122753.10+024215.8" Sy1
"SDSS J142542.55+652717.0" Sy1
"SDSS J012828.75+153316.8" Sy1
"2SLAQ J231309.71+002633.7" Sy1
"SDSS J073955.14+331236.8" Sy1
MCG+06-26-012 Sy1
"2SLAQ J002233.27-003448.5" Sy1
"2MASS J10424108+5200127" Sy1
"2dFGRS TGN396Z227" Sy1
"SDSS J154046.38+033649.0" Sy1
"SDSS J083228.72+515605.5" Sy1
"2MASS J11232811+0528232" Sy1
"2MASS J09073449+4919117" Sy1
"1WGA J1557.9+3316" Sy1
"2MASS J23085071-0930036" Sy1
"2MASS J09591486+0656570" Sy1
"SDSS J110931.25+632623.4" Sy1
"SDSS J073713.30+324553.3" Sy1
"2QZ J132231.1-001124" Sy1
"SDSS J083651.68+465333.9" Sy1
"2MASS J09112881+5040201" Sy1
"RX J0949.0+4746" Sy1
"2MASS J11042363+5034043" Sy1
"[VV2006] J100945.5+611041" Sy1
"2MASX J13332895+6135130" Sy1
"2MASS J16333827+3713140" Sy1
"SDSS J040150.12-064528.5" Sy1
"2MASS J16563702+3714397" Sy1
"[VV2003c] J075543.3+452337" Sy1
"SDSS J135346.20+613826.7" Sy1
"SDSS J092140.80+041245.2" Sy1
"SDSS J003418.26-085900.6" Sy1
"2MASS J08132138+3931091" Sy1
"SDSS J020028.37-093858.9" Sy1
"2dFGRS TGN201Z054" Sy1
"2MASS J08123149+4416207" Sy1
"2MASS J15585134+2807196" Sy1
"2MASS J08533826+0332463" Sy1
"SDSS J233336.00+133531.4" Sy1
"2MASS J11281302+1023083" Sy1
"[VV2006] J155419.1+452638" Sy1
"[VV2003c] J160152.5+522700" Sy1
"2MASS J15423485+5741418" Sy1
"2SLAQ J143230.99-005229.0" Sy1
"1RXS J123341.5+680038" Sy1
"[VV2006] J093034.8+570521" Sy1
"2MASX J10220960+4821140" Sy1
"2MASS J09051967+4401389" Sy1
"2MASS J16533869+6340104" Sy1
"2MASS J22292390+1339220" Sy1
"2MASX J09032078+4104491" Sy1
"2MASS J10342465+0559171" Sy1
"SDSS J170246.09+602818.8" Sy1
"2QZ J114455.7-002143" Sy1
"2MASS J17103321+5844566" Sy1
"2MASS J14104645+4658032" Sy1
"[VV2006] J142738.0+392445" Sy1
"2MASS J11342709+1001129" Sy1
"2SLAQ J021610.56+000538.3" Sy1
"2XMM J024934.7-082741" Sy1
"SDSS J133315.26+560859.8" Sy1
"2MASS J16113471+3849076" Sy1
"2MASS J15465664+0057197" Sy1
"2MASX J14330839+2326306" Sy1
"2MASS J16590544+6339225" Sy1
"2MASX J15135685+4810125" Sy1
"KUG 0301+002" Sy1
"[VV2006] J154025.4+003149" Sy1
"2MASS J11113865+5750298" Sy1
"2MASX J10310350+4626163" Sy1
"2MASS J14395292+3923589" Sy1
"[VV2006] J142151.0+561305" Sy1
"2MASS J01524975+0023145" Sy1
"SDSS J074255.78+234252.4" Sy1
"2MASS J16312858+4045360" Sy1
"[VV2006] J152548.0+535355" Sy1
"[VV2006] J162857.7+265242" Sy1
"2E  3377" Sy1
"[VV2006c] J093452.0+524712" Sy1
"SDSS J082745.91+413413.2" Sy1
"USNO-A2.0 0900-00857208" Sy1
"[VV2003c] J115600.7+033809" Sy1
"SDSS J015824.22-090913.8" Sy1
"SDSS J155359.32+430919.5" Sy1
"[VV2003c] J102749.0+651337" Sy1
"SDSS J085732.61+561042.5" Sy1
"2MASS J11445504+5434505" Sy1
"2QZ J102059.7+010034" Sy1
"2MASS J15222148-0144351" Sy1
"2MASS J11010414+0628296" Sy1
"SDSS J163006.36+451637.5" Sy1
"2QZ J130105.3-011919" Sy1
"2MASS J13362796+4429180" Sy1
"CXO J122950.0+033443" Sy1
"2MASX J11300312+6556295" Sy1
"[VV2006] J093652.7+014327" Sy1
"SDSS J084818.23+045643.1" Sy1
